Country Name;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Finland;France;Germany;Greece;Hungary;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Poland;Portugal;Romania;Slovak Republic;Slovenia;Spain;Sweden;Estonia;Netherlands
1991;33,84000015;31,20999908;41,11999893;29,98999977;29,34000015;44,93000031;26,89999962;28,78000069;28,38999939;37,72000122;25,15999985;35,63999939;27,46999931;34,95999908;30,72999954;30,54999924;27,11000061;35,24000168;36,18999863;34;39,90000153;41,95999908;45,79999924;32,34000015;26,61000061;37,04999924;25,06999969
1992;33,43000031;30,62999916;40,18999863;29,12000084;28,5;44,09999847;26,68000031;28,15999985;28,09000015;37,36999893;24,79000092;35,08000183;27,29000092;34,63000107;29,15999985;29,45000076;26,59000015;35,04999924;34,81999969;33,63000107;37,11000061;40,20999908;44,90000153;31,78000069;26,14999962;36;24,67000008
1993;32,83000183;29,45999908;39,16999817;28,79000092;27,13999939;43,54000092;26,10000038;27,78000069;27,51000023;36,74000168;24,20000076;34,06999969;27,14999962;34,11000061;28,20000076;28,79000092;26,42000008;34,86999893;34,04000092;32,86000061;35,81999969;39,65000153;44,18999863;31,04000092;25,63999939;33,25;24,13999939
1994;32,47000122;28,87999916;38,38000107;29,04000092;26,14999962;42,68999863;26,51000023;27,70999908;26,82999992;36,41999817;23,62000084;33,38999939;27,84000015;33,75999832;28,14999962;28,31999969;26,97999954;34,68000031;33,45999908;32,47000122;32,84999847;39,70000076;42,38999939;30,26000023;25,52000046;32,5;23,35000038
1995;32,09999847;28,25;37,5;29,01000023;25,53000069;42,25;27,07999992;27,60000038;26,94000053;36;23,20000076;33,08000183;27,78000069;33,65999985;27,63999939;28,21999931;25,26000023;34,50999832;33,13000107;32,18000031;30,95999908;38,90999985;43,13000107;30,20999908;25,47999954;34,22999954;23,35000038
1996;30,29999924;27,62999916;37,00999832;29,14999962;25,03000069;42,00999832;26,39999962;27,09000015;26,51000023;35,27000046;22,87000084;33,24000168;27,32999992;33,34999847;27,25;28,11000061;22,94000053;34,15000153;32,77000046;31,27000046;31,52000046;39,54000092;41,95999908;29,46999931;25,87000084;33,65000153;23,15999985
1997;29,63999939;27,54999924;35,36000061;29,54000092;24,54000092;41,56000137;26,23999977;27,42000008;26,55999947;34,66999817;22,45999908;33,22999954;28,54999924;32,61999893;25,82999992;28,52000046;23,31999969;33,84000015;32,47999954;31,02000046;30,29999924;39,27999878;40,5;29,90999985;25,54999924;33,43999863;22,87999916
1998;29,55999947;27,25;35,11999893;29,48999977;24,37000084;41,50999832;26,45000076;28,26000023;26,32999992;34,38999939;23,23999977;34,77999878;28,68000031;32,72999954;27,04999924;29,06999969;21,61000061;33,54999924;32,13000107;35,20999908;28,77000046;39,43999863;39,52000046;30,51000023;25,88999939;32,95000076;22,76000023
1999;29,76000023;25,77000046;33,79000092;29,09000015;24,11000061;40,56000137;26,93000031;27,72999954;26,29999924;33,83000183;22,95999908;34,34999847;28,29999924;32,38000107;25,76000023;27,06999969;21,97999954;33,15999985;31,55999947;34,34999847;27,05999947;38,43000031;37,79999924;30,68000031;24,98999977;31,63999939;22,32999992
2000;30,03000069;25,80999947;32,83000183;29,17000008;23,77000046;39,95000076;25,34000015;27,95000076;26,27000046;33,52999878;22,60000038;33,77000046;28,45999908;31,79000092;26,76000023;26,78000069;20,79000092;32,75;31,05999947;34,43999863;25,79000092;37,25;37,65000153;30,82999992;24,36000061;34,99000168;21,57999992
2001;29,37000084;25,48999977;32,77000046;29,69000053;23,69000053;40,52999878;25,38999939;27,07999992;26,03000069;32,77999878;23,05999947;34,41999817;28,93000031;31,73999977;26,27000046;26,63999939;21,43000031;30,93000031;30,72999954;33,45000076;25,85000038;37,06000137;38,63000107;31,45999908;23,73999977;33,75;21,56999969
2002;28,85000038;25,78000069;32,65999985;29,81999969;23,18000031;40,13000107;23,48999977;27,14999962;25,39999962;32,36999893;22,79999924;34,13999939;27,62000084;31,60000038;25,54000092;27,37000084;20,09000015;31,53000069;28,54000092;33,33000183;29,59000015;38,15000153;38,75;31,04000092;22,95999908;29,79999924;20,97999954
2003;28,92000008;24,92000008;32,13000107;30,25;22,87999916;39,88000107;23,14999962;26,70000076;24,13999939;31,37999916;22,54000092;33,40000153;27,73999977;31,77000046;27,06999969;27,23999977;19,29000092;29,87999916;28,54999924;32,65999985;29,13999939;38,13000107;37,13000107;30,70999908;22,60000038;30,70000076;19,90999985
2004;26,72999954;24,94000053;32,91999817;29,63999939;23,37999916;39,29999924;23,69000053;26,06999969;24,25;31,25;22,45999908;32,95000076;27,60000038;30,84000015;26,94000053;28,20000076;18,85000038;29,45000076;29,04000092;31,05999947;31,05999947;39,20999908;36,34999847;30,20999908;22,37000084;33,95000076;20,07999992
2005;27,57999992;24,69000053;34,24000168;28,62999916;24,04999924;39,49000168;23,88999939;25,80999947;23,78000069;29,84000015;22,38999939;32,47999954;27,60000038;30,68000031;26,47999954;29,05999947;17,29999924;29,85000038;29,25;30,38999939;30,45999908;38,81999969;37,06000137;29,56999969;22,04000092;34,06999969;21,04000092
2006;28,15999985;24,69000053;34,47000122;29,35000038;22,64999962;39,97000122;23,32999992;25,69000053;23,79999924;29,64999962;22,02000046;32,31999969;27,77000046;30,04999924;27,37000084;29,56999969;16,69000053;28,34000015;29,97999954;30,30999947;30,70999908;38,81999969;35,49000168;29,39999962;21,90999985;33,54000092;20,62999916
2007;27,31999969;24,43000031;35,5;30,63999939;22,52000046;40,22000122;23,51000023;25,71999931;23,31999969;29,89999962;22,44000053;32,52000046;25,77000046;30,12999916;28,62999916;30,54999924;16,92000008;26,31999969;30,71999931;30,23999977;31,40999985;39,38000107;35,24000168;29,11000061;21,64999962;35,13000107;19,78000069
2008;26,23999977;24,67000008;36,43000031;30,85000038;23,04999924;40,52999878;23,26000023;25,14999962;23,25;29,34000015;22,21999931;32,22000122;23,29000092;29,79999924;29,39999962;30,52000046;15,27999973;25,55999947;31,88999939;28,98999977;31,60000038;40,13000107;35,11999893;27,82999992;21,32999992;35,27000046;19,12999916
2009;24,96999931;23,46999931;35,24000168;29,01000023;21,81999969;38,56999969;20,56999969;23,95000076;22,67000008;28,79999924;21,12999916;31,15999985;19,85000038;29,23999977;24,34000015;26,85000038;12,90999985;25,02000046;31,11000061;27,80999947;30,02000046;37,93000031;33,15999985;24,59000015;20,15999985;31,44000053;18,52000046
2010;24,90999985;23,37999916;32,97999954;27,45000076;20,39999962;37,99000168;19,87000084;23,29999924;22,25;28,30999947;19,59000015;30,70000076;18,09000015;28,61000061;23,06999969;24,55999947;13,35000038;25,52000046;30,29999924;27,26000023;28,31999969;37,11999893;32,58000183;22,97999954;19,89999962;30,31999969;17,70000076
2011;26,03000069;23,22999954;31,45999908;27,95000076;20,89999962;38,45000076;20,04000092;23;22,17000008;28,23999977;17,69000053;30,84000015;17,45000076;28,29000092;22,90999985;24,55999947;13,35999966;24,52000046;30,67000008;26,86000061;28,55999947;37,49000168;31,65999985;21,76000023;19,93000031;32,43000031;17,17000008
2012;26,07999992;21,76000023;31,31999969;27,90999985;20,17000008;38,11999893;19,77000046;22,79000092;21,76000023;28,19000053;16,54000092;29,79000092;16,97999954;27,57999992;23,47999954;25,07999992;12,67000008;22,17000008;30,42000008;25,14999962;28,20999908;37,54000092;30,96999931;20,67000008;19,64999962;31,10000038;17,20999908
2013;25,90999985;21,70000076;30,19000053;27,62999916;17,55999947;37,50999832;19,63999939;22,85000038;21,30999947;27,78000069;15,56000042;29,89999962;17,22999954;27,04999924;23,92000008;25,53000069;12,03999996;21,56999969;30,54000092;23,70000076;28,29000092;35,81999969;31,03000069;19,75;19,15999985;30,27000046;16,52000046
2014;25,75;21,38999939;30,12000084;26,97999954;16,52000046;38,04000092;19,37000084;21,89999962;20,53000069;28,04999924;14,97999954;30,5;17,29999924;26,89999962;23,85000038;24,71999931;10,97999954;20,71999931;30,54000092;23,86000061;28,93000031;35,45000076;30,93000031;19,45000076;18,60000038;30,14999962;16,22999954
2015;25,76000023;21,43000031;29,89999962;26,70999908;16,22999954;38,02999878;19,42000008;21,70000076;20,31999969;27,69000053;14,93999958;30,32999992;18,11000061;26,60000038;23,64999962;25,06999969;12,52000046;20,01000023;30,54000092;24,35000038;28,45999908;36,11000061;32,00999832;19,89999962;18,29000092;30,65999985;16,43000031
2016;25,55999947;21,26000023;29,79000092;26,96999931;17,04999924;38,06999969;19,04999924;22,15999985;20,22999954;27,37999916;15,25;30,44000053;18,54999924;26,12000084;24,11000061;25,13999939;12,05000019;19,86000061;31,45000076;24,5;29,87999916;36,47000122;33,16999817;19,61000061;18,20000076;29,71999931;16,47999954
2017;24,92000008;20,76000023;29,89999962;26,42000008;17,04999924;38,06000137;18,94000053;22,15999985;20,40999985;27,39999962;15,40999985;31,52000046;18,84000015;26;23,30999947;25,12999916;10,76000023;19,80999947;31,67000008;24,73999977;30,12000084;37,15999985;33,25;20,05999947;18,15999985;29,95999908;16,52000046
2018;25,44000053;21,05999947;30,11000061;27,42000008;16,65999985;37,5;18,90999985;22,34000015;20,23999977;27,34000015;15,25;32,41999817;18,80999947;26,10000038;23,65999985;25,77000046;11,75;18,60000038;31,81999969;24,85000038;30,03000069;36,52000046;33,34999847;20,32999992;18,18000031;29,64999962;16,17000008
2019;25,36000061;20,84000015;30,02000046;27,67000008;18,44000053;37,25;18,54999924;21,63999939;20,43000031;27,18000031;15,34000015;32,09000015;18,77000046;25,87000084;23,71999931;25,70000076;10,81000042;18,92000008;32,13000107;24,68000031;30,06999969;36,09000015;34,09999847;20,43000031;18,42000008;28,70000076;16,11000061
